Id equipment;Fleet type;Fleet category;Equipment;Equipment - ID
36;Acarreo en Mina;HD785;CM401;CM401 - 36
31;Acarreo en Mina;HD785;CM402;CM402 - 31
32;Acarreo en Mina;HD785;CM403;CM403 - 32
34;Acarreo en Mina;HD785;CM404;CM404 - 34
35;Acarreo en Mina;HD785;CM405;CM405 - 35
33;Acarreo en Mina;HD785;CM406;CM406 - 33
66;Acarreo en Mina;HD785;CM407;CM407 - 66
67;Acarreo en Mina;HD785;SANY1;SANY1 - 67
68;Acarreo en Mina;HD785;SANY2;SANY2 - 68
71;Acarreo en Mina;SANY;SANY1;SANY1 - 71
80;Acarreo en Mina;SANY;SANY1;SANY1 - 80
70;Acarreo en Mina;SANY;SANY2;SANY2 - 70
84;Acarreo en Mina;SCANIA;CM01;CM01 - 84
85;Acarreo en Mina;SCANIA;CM02;CM02 - 85
86;Acarreo en Mina;SCANIA;CM03;CM03 - 86
87;Acarreo en Mina;SCANIA;CM04;CM04 - 87
88;Acarreo en Mina;SCANIA;CM05;CM05 - 88
89;Acarreo en Mina;SCANIA;CM06;CM06 - 89
94;Acarreo en Mina;SCANIA;CM07;CM07 - 94
97;Acarreo en Mina;SCANIA;CM07;CM07 - 97
93;Acarreo en Mina;ZOOMLION;CM106;CM106 - 93
78;Acarreo en Mina;ZOOMLION;ZOOM1;ZOOM1 - 78
76;Acarreo en Mina;ZOOMLION;ZOOM1;ZOOM1 - 76
77;Acarreo en Mina;ZOOMLION;ZOOM1;ZOOM1 - 77
79;Acarreo en Mina;ZOOMLION;ZOOM2;ZOOM2 - 79
63;Camión Fábrica;CamionFabrica;CP912;CP912 - 63
64;Camión Fábrica;CamionFabrica;FB704;FB704 - 64
65;Camión Fábrica;CamionFabrica;FB705;FB705 - 65
62;Camión Fábrica;CamionFabrica;FB706;FB706 - 62
82;Carguio en Mina;CAT395;EX502;EX502 - 82
96;Carguio en Mina;CAT395;EX503;EX503 - 96
95;Carguio en Mina;CAT395;EX503;EX503 - 95
59;Carguio en Mina;EX-800;EX801;EX801 - 59
60;Carguio en Mina;EX-800;EX802;EX802 - 60
90;Carguio en Mina;EX-800;EX803;EX803 - 90
92;Carguio en Mina;EX-800;EX804;EX804 - 92
45;Carguio en Mina;PC800;EX501;EX501 - 45
28;Carguio en Mina;WA900;CF601;CF601 - 28
29;Carguio en Mina;WA900;CF602;CF602 - 29
47;Chancadoras;Chancadora;Ch1;Ch1 - 47
74;Cisterna de Agua;Cisterna;CR701;CR701 - 74
49;Cisterna de Agua;Cisterna;CR702;CR702 - 49
52;Light Vehicle;Camioneta;LT901;LT901 - 52
57;Light Vehicle;Camioneta;LT902;LT902 - 57
54;Light Vehicle;Camioneta;LT903;LT903 - 54
53;Light Vehicle;Camioneta;LT906;LT906 - 53
55;Light Vehicle;Camioneta;LT910;LT910 - 55
51;Light Vehicle;Camioneta;LT932;LT932 - 51
56;Light Vehicle;Camioneta;LT933;LT933 - 56
73;Light Vehicle;Polvorinera;CP912;CP912 - 73
40;Motoniveladora;GD705;MO101;MO101 - 40
41;Motoniveladora;GD705;MO102;MO102 - 41
42;Perforadoras;DML;PE301;PE301 - 42
43;Perforadoras;DML;PE302;PE302 - 43
37;Tractor de Orugas;D275;DZ201;DZ201 - 37
38;Tractor de Orugas;D275;DZ202;DZ202 - 38
91;Tractor de Orugas;D275;DZ205;DZ205 - 91
39;Tractor de Orugas;D65;DZ203;DZ203 - 39
