Control Sense Id;Id equipment hauling;Id equipment loading;Id location dump;Id location load;Id polygon;Id material;Id crew hauling;Id crew loading;Hour hauling;Hour loading;Hour Dumping;Time loading;Time Dumping;Shift hauling;Shift loading;Id employee hauling;Id employee loading;Date cube hauling;Date cube loading;Ley Bloque Au;Ley Bloque Cu;Ley Bloque Sec;Ley Bloque CUSS;Ley Bloque OX;Ley Bloque AUPPM;Ley Bloque AGPPM;Ley Bloque MOPCT;Ley Bloque PBPCT;Ley Bloque FEPCT;Ley Bloque ZNPCT;Ley Bloque SPCT;Ley Bloque CAPCT;Ley Bloque HIGZN;Ley Bloque ASPPM;Ley Bloque REL;Ley Bloque RQD;Ley Bloque RMR;Ley Bloque IS;Ley Bloque MINZ;Ley Bloque KAOLI;Ley Bloque EXPCL;Ley Bloque TOTCL;Ley Bloque CPCT;Ley Bloque HUMC;Ley Bloque PIROF;Ley Bloque CLORI;Ley Bloque AP;Ley Bloque NP;Ley Bloque RECCU;Ley Bloque SPI;Ley Bloque BWI;Ley Bloque FP;Ley Bloque UCS;Ley Polígono Au;Ley Polígono Cu;Ley Polígono Sec;Ley Polígono CUSS;Ley Polígono OX;Ley Polígono AUPPM;Ley Polígono AGPPM;Ley Polígono MOPCT;Ley Polígono PBPCT;Ley Polígono FEPCT;Ley Polígono ZNPCT;Ley Polígono SPCT;Ley Polígono CAPCT;Ley Polígono HIGZN;Ley Polígono ASPPM;Ley Polígono REL;Ley Polígono RQD;Ley Polígono RMR;Ley Polígono IS;Ley Polígono MINZ;Ley Polígono KAOLI;Ley Polígono EXPCL;Ley Polígono TOTCL;Ley Polígono CPCT;Ley Polígono HUMC;Ley Polígono PIROF;Ley Polígono CLORI;Ley Polígono AP;Ley Polígono NP;Ley Polígono RECCU;Ley Polígono SPI;Ley Polígono BWI;Ley Polígono FP;Ley Polígono UCS;Es reportable-producción;Es reportable-tiempos;Toneladas de sensor;EFH cargado;Distancia real cargado;EFH Vacío (Km);EFH Cargado (Km);Velocidad Cargado (Km/h);Velocidad Vacío (Km/h);Toneladas de sensor cargadas;Ciclo Acarreo (8): Tiempo Cola en Descarga (s);Ciclo Acarreo (1): Tiempo Viajando Vacío (s);Ciclo Carguío (3): Tiempo Spot (s);Ciclo Acarreo (3): Tiempo Listo Para Cuadrarse (s);Ciclo Acarreo (10): Tiempo Listo Para Descarga (s);Tiempo queue en minutos total;Ciclo Acarreo (4): Tiempo Cuadrando (s);Ciclo Acarreo (5): Tiempo Cuadrado (s);Ciclo Acarreo (6): Tiempo Cargando (s);Ciclo Acarreo (7): Tiempo Acarreando (s);Ciclo Acarreo (0): Tiempo Total Ciclo (s);Ciclo Acarreo (11): Tiempo Descargando (s);Ciclo Acarreo (2): Tiempo Llegada (queue) (s);Ciclo Acarreo (9): Tiempo Retrocediendo (s);Ciclo Carguío (0): Tiempo Total Ciclo (s);Ciclo Carguío (2): Tiempo Hang (s);Toneladas de sensor reales;null;Toneladas Inpit Waste ;Toneladas Inpit Ore ;Toneladas Prime Ore ;Toneladas Medium Grade Rehandle ;Toneladas Prime Waste ;Toneladas Low Grade Rehandle ;Toneladas Medium Grade Crusher ;Toneladas Low Grade Crusher ;Toneladas Rehandle Ore ;Toneladas Rehandle Waste ;Toneladas Low Grade Stock ;Toneladas High Grade Crusher ;Toneladas Mineral To Pad Crusher ;Total Toneladas Without Inpit ;Toneladas Mineral To Pad Rehandle ;Toneladas Mineral To Pad Stock ;Toneladas High Grade Stock ;Toneladas Moved Stock ;Toneladas Moved Crusher ;Toneladas Moved Rehandle ;Toneladas High Grade Rehandle ;Toneladas Medium Grade Stock ;Toneladas Sterile Crusher ;Toneladas Sterile Rehandle ;Toneladas Sterile Stock ;Número de pases;Polígono HPGPS;Toneladas ROM To Crusher;Toneladas Mineral To Stock;Toneladas Stock Piles To Crusher;Toneladas Ore To Crusher;Distancia real vacío
577615;34;45;1438;616442;11669;1;;;7;6;7;2024-01-01 06:45:07.229;2024-01-01 07:04:31.848;1;2;46;6;2024-01-01;2023-12-31;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;100.7;1.50166;0.64767;2.04166;1.50166;12.857;18.224;100.7;8.002;350.057;42.007;2.147;0;0.0357833333333333;11.853;28.007;396.065;317.816267;1361.993267;42.007;0;206.039;448.945;10.873;100.7;;;;0;;;;;;;;;;;100.7;;;;0;;0;;;;;;19;11669;0;0;0;0;0.86362
577616;32;29;1421;616471;11671;4;;;7;6;7;2024-01-01 06:47:21.625;2024-01-01 07:05:42.52;1;2;119;78;2024-01-01;2023-12-31;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;92.8;2.01166;1.49411;1.17833;2.01166;13.5805;20.359;92.8;8.002;202.367;78.029;12.216;0;0.2036;0.087;65.726;206.036;425.791916;982.235916;28.004;0;34.006;573.074;289.009;92.8;;;;0;;92.8;;;;;;;;;92.8;;;;92.8;;0;;;;;92.8;7;11671;0;0;0;0;0.90048
577617;35;45;1438;616442;11669;1;;;7;7;7;2024-01-01 07:09:32.422;2024-01-01 07:13:14.458;1;1;4;28;2024-01-01;2024-01-01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;89.8;0.90666;0.77789;0.74666;0.90666;14.8745;24.699;89.8;4;128.025;477.342574;280.613052;0;4.95785086666667;0.07;167.832;358.091;192.031;1203.529052;30.004;16.858;26.005;835.433574;0;89.8;;;;0;;;;;;;;;;;89.8;;;;0;;0;;;;;;19;11669;0;0;0;0;0.85592
577618;66;29;1421;616471;11671;4;;;7;7;7;2024-01-01 07:01:11.097;2024-01-01 07:12:33.345;1;1;116;78;2024-01-01;2024-01-01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;97;3.09777;1.70223;2.11166;3.09777;13.943;23.846;97;8.002;362.067;0;2.082;0;0.0347;0.091;1.815;338.066;656.207;1428.339;41.97;0;18.039;352.613349;14.547349;20.1;;;;0;;97;;;;;;;;;97;;;;97;;0;;;;;97;1;11671;0;0;0;0;0.00245
577619;36;29;1421;616471;11671;4;;;7;7;7;2024-01-01 07:10:27.038;2024-01-01 07:16:53.118;1;1;2;96;2024-01-01;2024-01-01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;101.7;1.68111;1.57312;1.28333;1.68111;16.2865;24.1215;101.7;2;220.026;84.011;20.206;0;0.336766666666667;13.799;50.006;146.023;356.077;864.147;28.007;0;28.003;555.941;325.907;101.7;;;;0;;101.7;;;;;;;;;101.7;;;;101.7;;0;;;;;101.7;5;11671;0;0;0;0;1.42108
577620;34;45;1438;616442;11669;1;;;7;7;7;2024-01-01 07:18:36.04;2024-01-01 07:24:08.097;1;1;21;28;2024-01-01;2024-01-01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;92.7;1.16166;0.80373;0.89833;1.16166;11.9605;21.222;92.7;8.004;154.023;60.008;18.071;0;0.301183333333333;17.933;24.004;392.12;246.037;990.217;52.009;0;78.016;543.618;91.49;92.7;;;;0;;;;;;;;;;;92.7;;;;0;;0;;;;;;21;11669;0;0;0;0;0.89688
577621;32;29;1421;616471;11671;4;;;7;7;7;2024-01-01 07:18:41.798;2024-01-01 07:24:51.848;1;1;112;96;2024-01-01;2024-01-01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;103.6;1.615;1.51094;1.295;1.615;16.216;23.7745;103.6;2.004;222.04;44.005;22.102;0;0.368366666666667;19.903;2;198.026;342.044;880.13;46.009;0;26.002;494.76;252.729;103.6;;;;0;;103.6;;;;;;;;;103.6;;;;103.6;;0;;;;;103.6;7;11671;0;0;0;0;1.4098
577622;35;45;1438;616442;11669;1;;;7;7;7;2024-01-01 07:26:58.603;2024-01-01 07:30:56.647;1;1;4;28;2024-01-01;2024-01-01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;94.4;0.98222;0.80969;1.03833;0.98222;14.2465;17.359;94.4;2;178.031;46.487;0;0;1.00248333333333;0.055;149.836;456.076;208.039;1116.194;34.003;60.149;28.005;502.563;0;94.4;;;;0;;;;;;;;;;;94.4;;;;0;;0;;;;;;20;11669;0;0;0;0;0.85006
577624;66;29;1421;616471;11671;4;;;7;7;7;2024-01-01 07:23:11.425;2024-01-01 07:28:43.562;1;1;116;96;2024-01-01;2024-01-01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;100.9;1.43555;1.50161;1.75;1.43555;17.991;24.7935;100.9;6.002;300.062;32.006;12.065;0;0.201083333333333;17.942;1.999;202.037;304.052;896.171;29.929;0;22.083;269.627;35.584;100.9;;;;0;;100.9;;;;;;;;;100.9;;;;100.9;;0;;;;;100.9;7;11671;0;0;0;0;1.47354
577625;36;29;1421;616471;11671;4;;;7;7;7;2024-01-01 07:27:55.239;2024-01-01 07:33:45.325;1;1;2;96;2024-01-01;2024-01-01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;103.2;1.55833;1.50334;2.03;1.55833;16.8595;21.7395;103.2;6.001;348.072;108.595854;39.983;0;2.83761666666667;17.783;50.829854;175.218146;330.042;1144.214;31.968;130.274;14.043;283.814;0;103.2;;;;0;;103.2;;;;;;;;;103.2;;;;103.2;;0;;;;;103.2;7;11671;0;0;0;0;1.44618
577626;34;45;1438;616442;11669;1;;;7;7;7;2024-01-01 07:35:26.235;2024-01-01 07:40:04.297;1;1;21;28;2024-01-01;2024-01-01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;102.1;1.12388;0.8091;1.085;1.12388;12.49;18.6345;102.1;8.003;186.047;46.016;2.2;0;0.0366666666666667;15.807;28.009;426.09;238.046;1006.231;70.016;0;32.013;507.632;35.526;102.1;;;;0;;;;;;;;;;;102.1;;;;0;;0;;;;;;20;11669;0;0;0;0;0.91827
577627;32;29;1421;616471;11671;4;;;7;7;7;2024-01-01 07:33:45.941;2024-01-01 07:39:24.001;1;1;112;96;2024-01-01;2024-01-01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;93.4;1.46388;1.48716;1.42333;1.46388;17.496;25.7395;93.4;2;244.042;32.005;2.254;0;0.0375666666666667;27.753;1.998;234.039;310.053;872.15;24.004;0;26.007;350.702;84.658;93.4;;;;0;;93.4;;;;;;;;;93.4;;;;93.4;;0;;;;;93.4;6;11671;0;0;0;0;1.41495
