Status Id;Control Sense Id;Id status main;Id status type;Id status detail;Id equipment;Equipo;Id employee;Inicio de estado;Duración HR numérico;Fin de estado;Date cube;Duración Hr.;Hour;Id type status;Id detail status;Main status;Type status;Detail status
386421;386421;5;17;137;28;Carguio en Mina;47;2025-01-01 10:11:06.019903;103.94;2025-01-05 18:07:32.431981;2025-01-01;103.940670021667;10;17;2409;OUTOFPLAN;Programado;Fuera de plan
386431;386431;5;17;371;34;Acarreo en Mina;56;2025-01-01 11:21:02.622931;27.40;2025-01-02 14:45:19.088;2025-01-01;27.4045736302778;11;17;2409;OUTOFPLAN;Programado;Fuera de plan
386433;386433;5;17;371;31;Acarreo en Mina;82;2025-01-01 11:27:06.707702;27.25;2025-01-02 14:41:59.736;2025-01-01;27.2480634161111;11;17;2409;OUTOFPLAN;Programado;Fuera de plan
386538;386538;5;17;371;36;Acarreo en Mina;74;2025-01-01 19:38:32.512291;87.93;2025-01-05 11:34:30.918874;2025-01-01;87.9328907175;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
386631;386631;5;17;478;38;Tractor de Orugas;40;2025-01-02 11:10:19.706558;0.00;;2025-01-02;;11;17;2409;OUTOFPLAN;Programado;Fuera de plan
387112;387106;5;17;2409;88;Acarreo en Mina;148;2025-01-04 11:41:41;3.64;2025-01-04 15:19:57.450903;2025-01-04;3.63790302861111;11;17;2409;OUTOFPLAN;Programado;Fuera de plan
387411;387411;5;17;371;31;Acarreo en Mina;74;2025-01-05 11:34:55.031527;0.00;;2025-01-05;;11;17;2409;OUTOFPLAN;Programado;Fuera de plan
387492;387492;5;17;137;28;Carguio en Mina;47;2025-01-05 19:49:18.477919;23.40;2025-01-06 19:13:23.716;2025-01-05;23.4014550225;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
387563;387563;5;17;2409;87;Acarreo en Mina;157;2025-01-06 08:23:25.961734;5.06;2025-01-06 13:27:18.482;2025-01-06;5.06458896277778;8;17;2409;OUTOFPLAN;Programado;Fuera de plan
387623;387623;5;17;2409;86;Acarreo en Mina;149;2025-01-06 15:57:14.275173;4.87;2025-01-06 20:49:09.437;2025-01-06;4.86532272972222;15;17;2409;OUTOFPLAN;Programado;Fuera de plan
388008;387999;5;17;2409;85;Acarreo en Mina;152;2025-01-08 03:04:40;4.12;2025-01-08 07:11:48.59;2025-01-07;4.11905277777778;3;17;2409;OUTOFPLAN;Programado;Fuera de plan
388009;387997;5;17;2409;88;Acarreo en Mina;151;2025-01-08 02:43:19;8.13;2025-01-08 10:51:03.076322;2025-01-07;8.12891008944444;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
388053;388053;5;17;137;28;Carguio en Mina;47;2025-01-08 08:52:02.60827;7.97;2025-01-08 16:50:17.439;2025-01-08;7.97078631388889;8;17;2409;OUTOFPLAN;Programado;Fuera de plan
388265;388265;5;17;2409;89;Acarreo en Mina;137;2025-01-08 19:22:59.667855;0.30;2025-01-08 19:41:06.381953;2025-01-08;0.301865027222222;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
388266;388266;5;17;2409;87;Acarreo en Mina;128;2025-01-08 19:23:04.163324;1.65;2025-01-08 21:02:05.485251;2025-01-08;1.65036720194444;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
388267;388267;5;17;2409;86;Acarreo en Mina;139;2025-01-08 19:23:09.353281;0.32;2025-01-08 19:42:19.407516;2025-01-08;0.319459509722222;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
388310;388310;5;17;2409;87;Acarreo en Mina;128;2025-01-08 21:28:09.277085;0.53;2025-01-08 22:00:03;2025-01-08;0.531589698611111;21;17;2409;OUTOFPLAN;Programado;Fuera de plan
388355;388355;5;17;2409;87;Acarreo en Mina;128;2025-01-08 23:53:55.374225;2.11;2025-01-09 02:00:24;2025-01-08;2.10795160416667;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
388458;388458;5;17;137;29;Carguio en Mina;10;2025-01-09 08:03:20.349064;2.50;2025-01-09 10:33:14.373324;2025-01-09;2.49834007222222;8;17;2409;OUTOFPLAN;Programado;Fuera de plan
388516;388516;5;17;137;29;Carguio en Mina;78;2025-01-09 11:55:03.210237;4.32;2025-01-09 16:14:27.957524;2025-01-09;4.32354091305556;11;17;2409;OUTOFPLAN;Programado;Fuera de plan
388612;388612;5;17;137;29;Carguio en Mina;78;2025-01-09 16:58:36.149954;2.04;2025-01-09 19:01:03.610494;2025-01-09;2.04096126111111;16;17;2409;OUTOFPLAN;Programado;Fuera de plan
388664;388664;5;17;1501;90;Carguio en Mina;0;2025-01-09 19:00:30.332238;10.19;2025-01-10 05:11:41.209843;2025-01-09;10.1863548902778;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
388676;388676;5;17;2409;89;Acarreo en Mina;137;2025-01-09 19:14:27.694706;1.36;2025-01-09 20:36:05.578905;2025-01-09;1.36052338861111;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
388677;388677;5;17;2409;87;Acarreo en Mina;128;2025-01-09 19:14:32.73818;1.36;2025-01-09 20:36:08.83898;2025-01-09;1.360028;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
388678;388678;5;17;2409;86;Acarreo en Mina;139;2025-01-09 19:14:37.509176;1.35;2025-01-09 20:35:30.122697;2025-01-09;1.34794820027778;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
388679;388679;5;17;2409;85;Acarreo en Mina;138;2025-01-09 19:14:43.214245;1.34;2025-01-09 20:35:17.370697;2025-01-09;1.34282123666667;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
388683;388683;5;17;2409;88;Acarreo en Mina;142;2025-01-09 19:23:44.852424;2.61;2025-01-09 22:00:26;2025-01-09;2.61142988222222;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
388752;388752;5;17;2409;89;Acarreo en Mina;137;2025-01-10 00:22:25.817706;1.83;2025-01-10 02:12:11.681487;2025-01-09;1.82940660583333;0;17;2409;OUTOFPLAN;Programado;Fuera de plan
388753;388753;5;17;2409;86;Acarreo en Mina;139;2025-01-10 00:22:33.11777;1.69;2025-01-10 02:04:04.114;2025-01-09;1.69194339722222;0;17;2409;OUTOFPLAN;Programado;Fuera de plan
388783;388783;5;17;2409;87;Acarreo en Mina;128;2025-01-10 02:12:17.683237;2.82;2025-01-10 05:01:23.685348;2025-01-09;2.81833391972222;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
388797;388797;5;17;137;29;Carguio en Mina;28;2025-01-10 02:30:39.759435;1.22;2025-01-10 03:44:04.872857;2025-01-09;1.22364261722222;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
388800;388800;5;17;2409;85;Acarreo en Mina;138;2025-01-10 02:33:28.002114;1.33;2025-01-10 03:53:30.931878;2025-01-09;1.33414715666667;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
388828;388828;5;17;2409;88;Acarreo en Mina;140;2025-01-10 04:56:56.12374;0.55;2025-01-10 05:29:54.281607;2025-01-09;0.549488296388889;4;17;2409;OUTOFPLAN;Programado;Fuera de plan
388849;388849;5;17;2409;88;Acarreo en Mina;140;2025-01-10 06:10:27.324283;0.91;2025-01-10 07:05:10.468;2025-01-09;0.911984365833333;6;17;2409;OUTOFPLAN;Programado;Fuera de plan
388853;388853;5;17;137;29;Carguio en Mina;28;2025-01-10 06:13:44.534577;3.78;2025-01-10 10:00:43.090054;2025-01-09;3.78293207694444;6;17;2409;OUTOFPLAN;Programado;Fuera de plan
388970;388970;5;17;137;29;Carguio en Mina;10;2025-01-10 12:37:08.317638;1010.19;2025-02-21 14:48:16.049695;2025-01-10;1010.18548112694;12;17;2409;OUTOFPLAN;Programado;Fuera de plan
389151;389151;5;17;2409;87;Acarreo en Mina;140;2025-01-10 23:27:20.580475;1.55;2025-01-11 01:00:16.94422;2025-01-10;1.54898992916667;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
389160;389160;5;17;2409;89;Acarreo en Mina;137;2025-01-11 00:28:53.516816;0.58;2025-01-11 01:03:57;2025-01-10;0.584300884444445;0;17;2409;OUTOFPLAN;Programado;Fuera de plan
389177;389177;5;17;2409;87;Acarreo en Mina;140;2025-01-11 01:17:24.630051;3.02;2025-01-11 04:18:30.511;2025-01-10;3.01830026361111;1;17;2409;OUTOFPLAN;Programado;Fuera de plan
389187;389187;5;17;2409;85;Acarreo en Mina;138;2025-01-11 02:08:24.924818;1.08;2025-01-11 03:13:16.122454;2025-01-10;1.08088823222222;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
389188;389188;5;17;2409;88;Acarreo en Mina;128;2025-01-11 02:10:01.66737;2.18;2025-01-11 04:20:39.136873;2025-01-10;2.17707486194444;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
389192;389192;5;17;2409;86;Acarreo en Mina;139;2025-01-11 02:21:22.892714;2.14;2025-01-11 04:29:35.237427;2025-01-10;2.13676242027778;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
